nama,komentar
J***n,"Apanya yg PELAYANAN CS HANDAL, di chat aja gak dibalas, pesanan tidak diproses, ngakak. Overload bukannya tambah staff malah dipaksa."
I***o,"HP nya mantab.. cm pelayanan lemot, beli sabtu be dikirim senin. untung ekspedisinya pake siCepat, 3 hari sampai. klo pake JNE tahun depan br sampai"
Kemal,"P.O tanggal 7, diserahkan ke kurir tanggal 13"
Rora,"barang sih oke, dapet miband7 juga. sayangnya pengiriman lama. 7 hari setelah order"
Marya,"Pesan tgl 1 des baru sampe hari ini tgl 15 des gara2 kurir Paxel nya salah kirim alamat, tidak ada telpon konfirmasi dan proses nya lama bangettt ... jelek banget pelayan... "
Herry,"setelah nyalakan hape connect wifi.. lalu masukan account google... sudah 24 jam lamanya hp melakukan sync ke account google.. namun tetap hanya loading terus... kusta fe... "
Y***O,"pengiriman PO tidak menurut antrian, tidak adil dan sangat kecewa. PO tgl 1 dikirim tgl 9 dan terima tgl 11. sedangkan yg PO tgl 5 sudah terima tgl 8.. kapok untuk PO lag... "
V***o,lama plus dusnya penyok
