nama,komentar
Ekobolang,bingung makainya
Lailatul,ga dapet free mouse :(
E***F,"admin yg bales chat kurang jujur, kurir blm pickup bilangnya udah. giliran ditanyain jam brp dipickup, gabisa kasi jawaban pasti. utk kondisi laptop untungnya ga knp2. ga... "
Rizki,"dikerjain waktu pengiriman gosend, awalnya bilang dikirim sebelum jam 12, tapi ga dikirim juga, saya minta buat kirim besok sekalian karena harus pergi lalu diiyakan, say... "
C***i,"barang pas sampe bergaris² kayanya ketumpuk paketnya krg bagus packingnya biasanya kl dr marketplace lain stlh dbuble wrap tebel masukin lg ke dus packing , alhasil dkomp... "
muhammad,kurang informatif
A***o,"secara fungsi kurang bagus, ternyata bukan fungsi laptop, hanya netbook, akibat minimnya informasi awal"
Dionsius,sy kira os ny windows rupanya os android
Saeful,"semuanya oke kecuali mouse ngga sesuai deskripsi, ngga ada respon juga pas mau tuker"
