nama,komentar
D***a,Pelayanan ADMIN sangat parah no respon
A***i,"Kualitas barangnya oke, kurirnya juga sangat sopan. Cuma adminnya ada attitude problem. Dari awal saya sudah menyatakan bahwa butuh barangnya jam sekian. Dijawab dengan :... "
W***y,"pengalaman yg ngeselin. karena statusnya diproses trus, saya blg senin aja kirimnya krn saya alamat kantor (timeline toped juga masih 4 hari jadi masih on schedule) dijaw... "
Suhardi,"Barang yang saya terima ada kendala, saya mengajukan reture namun di tolak oleh seller. NOT RECOMENDED !!!"
