,nama,komentar,rating
0,A***a,"Pengiriman lama dari sicepat tiba-tiba ganti jadi jne ditengah jalan. Kemasan dus penyok+buble cuma 1, Warna layar kuning, cs tidak kooperatif",2
1,Dwi,"beli dengan pengiriman same day tapi 4 hari baru nyampe ,,expedisi ******",2
2,d***a,"Pengiriman lama kesalahan bukan dr pihak ekspedisi tapi dari pihak penjual yg tidak siap mengirim barang, jika tid siap jangan ada pilihan nextday!",2
3,V***n,"Redmi Note seri Pro... 13 april 2023 ""edited"" setelah penggunaan beberapa hari rasa2nya batrainya gampang banget abis pdahal g di pakai game samsek, cuma sesekal... ",2
